# c	AcornConfidence	DresserConfidence
0.3	0.00147356	0.000116134
0.6	0.224657	0.00215208
0.9	0.945564	0.0186761
1.2	0.998077	0.100415
1.5	0.999904	0.305134
1.8	0.999993	0.605564
2.1	0.999999	0.779246
2.4	1.0

0.3	0.00147356	0.000116133800475
0.6	0.224657	0.00215207529254
0.9	0.945564	0.0186760574579
1.2	0.998077	0.100414991379
1.5	0.999904	0.305134057999
1.8	0.999993	0.60556447506
2.1	0.999999	0.77924567461
2.4	1.0	0.947623431683
2.7	0.999999880791	0.982758700848
3.0	1.0	0.991621851921
